Centro de Operaciones,Código Bodega,Bodega,Código Artículo,Artículo,Código Ubicación,Ubicación,Código Categoría,Categoría,U/Medida,Cantidad Período Anterior,Costo Período Anterior,Cantidad Entradas,Costo Entradas,Cantidad Salidas,Costo Salidas,Cantidad Período,Costo Período,Cantidad Reservada Período,Existencia Período,Costo Unitario,Estatus
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0123,CARGADOR UNIVERSAL PARA TELEFONO,U001,Ubicación Principal,PRO-13,ACCESORIOS DE TELEFONOS,Unid,                               1.00,                               1.00,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               1.00,                               0.00,                               1.00,                               1.00,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0127,CASE EXTERNO 2.5 USB 2.0,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                             376.00,                             635.44,                               0.00,                               0.00,                              43.00,                              72.67,                             333.00,                             562.77,                               0.00,                             333.00,                               1.69,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0137,CEPILLO SECADOR ONE STEP,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                               1.00,                               5.28,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               5.28,                               0.00,                               1.00,                               5.28,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0153,CONTROL AIRE ACONDICIONADO UNIVERSAL K-1028E,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                             181.00,                             201.13,                               0.00,                               0.00,                               9.00,                               9.99,                             172.00,                             191.14,                               0.00,                             172.00,                               1.11,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0158,CONTROL PLAYSTATION INALAMBRICO PS3 NEGRO,U001,Ubicación Principal,PRO-03,CONSOLAS Y VIDEOJUEGOS,Unid,                             127.00,                             560.59,                               0.00,                               0.00,                               7.00,                              30.87,                             120.00,                             529.72,                               0.00,                             120.00,                               4.41,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0167,CONTROL PLAYSTATION INALAMBRICO PS4 NEGRO,U001,Ubicación Principal,PRO-03,CONSOLAS Y VIDEOJUEGOS,Unid,                             168.00,"                           1,283.68",                              12.00,                              91.68,                              40.00,                             305.60,                             140.00,"                           1,069.76",                               0.00,                             140.00,                               7.64,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0173,CONVERTIDOR MINI HDMI A VGA,U001,Ubicación Principal,PRO-20,"CABLES, ADAPTADORES Y CONVERTIDORES",Unid,                              56.00,                             232.32,                               0.00,                               0.00,                               2.00,                               8.30,                              54.00,                             224.02,                               0.00,                              54.00,                               4.15,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0189,CRONOMETRO DIGITAL DEPORTIVO ZSD-009,U001,Ubicación Principal,PRO-04,DEPORTE Y FITNESS,Unid,                             117.00,                             135.02,                               0.00,                               0.00,                               9.00,                              10.35,                             108.00,                             124.67,                               0.00,                             108.00,                               1.15,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0200,DISPENSADOR DE AGUA ELECTRONICO,U001,Ubicación Principal,PRO-25,COCINA,Unid,                             380.00,                             649.80,                               2.00,                               3.42,                             130.00,                             222.30,                             252.00,                             430.92,                               0.00,                             252.00,                               1.71,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0206,ESMERIL 6-AMP 4-1/2-INCH HYPER TOUGH,U001,Ubicación Principal,PRO-16,FERRETERIA,Unid,                               1.00,                              29.58,                               1.00,                              29.58,                               1.00,                              29.58,                               1.00,                              29.58,                               0.00,                               1.00,                              29.58,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0208,ESENCIAS A BASE DE ACEITE,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                               1.00,                               1.83,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               1.83,                               0.00,                               1.00,                               1.80,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0210,ESTIMULADOR Y SUCCIONADOR DE CLITORIS MNMLKX003,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              74.00,                             505.42,                               0.00,                               0.00,                              14.00,                              95.62,                              60.00,                             409.80,                               0.00,                              60.00,                               6.83,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0226,FAN COOLER EXTRACTOR ACRILICO 8CM,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                               1.00,                               1.48,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               1.48,                               0.00,                               1.00,                               1.48,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0234,HUMIDIFICADOR H2O GRIS,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                              71.00,                             113.26,                               0.00,                               0.00,                              42.00,                              66.78,                              29.00,                              46.48,                               0.00,                              29.00,                               1.59,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0236,HUMIDIFICADOR H2O ROSADO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                               5.00,                               8.26,                               0.00,                               0.00,                               3.00,                               4.95,                               2.00,                               3.31,                               0.00,                               2.00,                               1.65,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0239,HUMIDIFICADOR WITH COLOR CHANGING LED MARRON CLARO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                               9.00,                              17.91,                               9.00,                              20.40,                              14.00,                              29.41,                               4.00,                               8.90,                               0.00,                               4.00,                               2.23,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0245,KERATINA 500ML BELLAFEME,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                               1.00,                               6.00,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               6.00,                               0.00,                               1.00,                               6.00,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0257,LAMPARA ANTI MOSQUITO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                               1.00,                               2.32,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               2.32,                               0.00,                               1.00,                               2.32,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0259,LAMPARA LED EMPOTRAR CUADRADO 12W,U001,Ubicación Principal,PRO-14,ILUMINACION,Unid,                               7.00,                              22.75,                               0.00,                               0.00,                               0.00,                               0.00,                               7.00,                              22.75,                               0.00,                               7.00,                               3.25,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0263,LECTOR MEMORIA OTG,U001,Ubicación Principal,PRO-20,"CABLES, ADAPTADORES Y CONVERTIDORES",Unid,                              26.00,                              26.00,                               0.00,                               0.00,                               0.00,                               0.00,                              26.00,                              26.00,                               0.00,                              26.00,                               1.00,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0274,MAQUINA DE AFEITAR INALAMBRICA T9 DRAGON PLATEADO,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                             125.00,                             133.08,                               2.00,                               2.12,                              99.00,                             105.07,                              28.00,                              30.13,                               0.00,                              28.00,                               1.06,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0283,MAQUINA SELLADORA AL VACIO,U001,Ubicación Principal,PRO-25,COCINA,Unid,                               0.00,                               0.00,                               1.00,                               3.84,                               0.00,                               0.00,                               1.00,                               3.84,                               0.00,                               1.00,                               3.84,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0287,SATISFAYER RECARGABLE BEIGE GM21901,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             182.00,                             944.58,                               0.00,                               0.00,                              26.00,                             134.94,                             156.00,                             809.64,                               0.00,                             156.00,                               5.19,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0288,MASAJEADOR DE CUELLO JT-600 HR210810-1,U001,Ubicación Principal,PRO-18,SALUD,Unid,                             277.00,                             963.96,                               1.00,                               3.48,                              77.00,                             267.96,                             201.00,                             699.48,                               0.00,                             201.00,                               3.48,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0289,PISTOLA MASAJEADORA ELECTRICA SY-720 ROJO,U001,Ubicación Principal,PRO-18,SALUD,Unid,                              72.00,                             229.68,                               0.00,                               0.00,                              34.00,                             108.46,                              38.00,                             121.22,                               0.00,                              38.00,                               3.19,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0290,PISTOLA MASAJEADORA ELECTRICA SY-720 VERDE,U001,Ubicación Principal,PRO-18,SALUD,Unid,                              74.00,                             236.06,                               0.00,                               0.00,                              27.00,                              86.13,                              47.00,                             149.93,                               0.00,                              47.00,                               3.19,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0291,PISTOLA MASAJEADORA ELECTRICA SY-720 GRIS,U001,Ubicación Principal,PRO-18,SALUD,Unid,                              73.00,                             232.87,                               3.00,                               9.57,                              34.00,                             108.46,                              42.00,                             133.98,                               0.00,                              42.00,                               3.19,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0292,PISTOLA MASAJEADORA ELECTRICA SY-720 NEGRO,U001,Ubicación Principal,PRO-18,SALUD,Unid,                             342.00,"                           1,090.98",                               8.00,                              25.52,                             193.00,                             615.67,                             157.00,                             500.83,                               0.00,                             157.00,                               3.19,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0296,MEMORIA RAM LAPTOP KINGSTON DDR2 2GB 800,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                               4.00,                              15.00,                               0.00,                               0.00,                               0.00,                               0.00,                               4.00,                              15.00,                               0.00,                               4.00,                               3.75,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0304,MEMORIA RAM PC KINGSTON DDR3 2GB 1333,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                               1.00,                               5.31,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               5.31,                               0.00,                               1.00,                               5.31,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0328,MOUSE INALAMBRICO RECARGABLE BLUETOOH 2.4G CAJA 2514 PLATEADO,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                               5.00,                               7.20,                               5.00,                               7.76,                               8.00,                              11.52,                               2.00,                               3.44,                               0.00,                               2.00,                               1.72,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0329,MOUSE PAD MAPA MUNDI,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                             354.00,                             481.44,                               1.00,                               1.64,                              29.00,                              39.44,                             326.00,                             443.64,                               0.00,                             326.00,                               1.36,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0332,MOUSE ALAMBRICO USB LENOVO,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                             189.00,                             185.95,                               0.00,                               0.00,                              14.00,                              13.72,                             175.00,                             172.23,                               0.00,                             175.00,                               0.98,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0334,NEBULIZADOR PORTATIL RECARGABLE 2 BOQUILLAS CON CABLE USB,U001,Ubicación Principal,PRO-18,SALUD,Unid,                             125.00,                             382.18,                               2.00,                               6.11,                              37.00,                             113.22,                              90.00,                             275.07,                               0.00,                              90.00,                               3.06,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0337,PANTIES VIBRADOR CON CONTROL REMOTO A DISTANCIA ASLCD001 ROSADO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              14.00,                             106.64,                               0.00,                               0.00,                               1.00,                               7.61,                              13.00,                              99.03,                               0.00,                              13.00,                               7.61,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0338,PANTIES VIBRADOR CON CONTROL REMOTO A DISTANCIA ASLCD001 MORADO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              14.00,                             108.64,                               0.00,                               0.00,                               0.00,                               0.00,                              14.00,                             108.64,                               0.00,                              14.00,                               7.76,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0344,PEGA EN BARRA ELMERS ALL PURPOSE,U001,Ubicación Principal,PRO-19,OFICINA,Unid,                              32.00,                               8.00,                               0.00,                               0.00,                               0.00,                               0.00,                              32.00,                               8.00,                               0.00,                              32.00,                               0.25,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0363,PLUG ANAL SET 3 UNIDADES BLANCO METALPLUGSET,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              45.00,                             185.57,                               0.00,                               0.00,                               2.00,                               8.26,                              43.00,                             177.31,                               0.00,                              43.00,                               4.13,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0364,PLUG ANAL SET 3 UNIDADES ROSADO METALPLUGSET,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              14.00,                              61.46,                               0.00,                               0.00,                               9.00,                              39.51,                               5.00,                              21.95,                               0.00,                               5.00,                               4.39,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0366,PLUG ANAL SET 3 UNIDADES AZUL OSCURO METALPLUGSET,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              34.00,                             149.26,                               0.00,                               0.00,                               4.00,                              17.56,                              30.00,                             131.70,                               0.00,                              30.00,                               4.39,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0367,PLUG ANAL SET 3 UNIDADES MORADO METALPLUGSET,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              16.00,                              63.29,                               1.00,                               3.96,                               5.00,                              19.79,                              12.00,                              47.46,                               0.00,                              12.00,                               3.95,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0379,PLUG ANAL TALLA M ROJO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              18.00,                              16.92,                               0.00,                               0.00,                              12.00,                              11.28,                               6.00,                               5.64,                               0.00,                               6.00,                               0.94,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0381,PLUG ANAL TALLA M BLANCO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              39.00,                              36.47,                               0.00,                               0.00,                               3.00,                               2.82,                              36.00,                              33.65,                               0.00,                              36.00,                               0.94,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0384,PLUG ANAL TALLA M AZUL OSCURO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              35.00,                              32.77,                               0.00,                               0.00,                               2.00,                               1.86,                              33.00,                              30.91,                               0.00,                              33.00,                               0.93,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0385,PLUG ANAL TALLA M MORADO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              23.00,                              21.62,                               0.00,                               0.00,                              11.00,                              10.34,                              12.00,                              11.28,                               0.00,                              12.00,                               0.94,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0390,PLUG ANAL TALLA S BLANCO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              39.00,                              29.33,                               0.00,                               0.00,                               8.00,                               6.08,                              31.00,                              23.25,                               0.00,                              31.00,                               0.76,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0406,VIBRADOR RABBIT SUPER MUTE 10 VELOCIDADES MORADO YCYY001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             170.00,                             457.30,                               0.00,                               0.00,                              35.00,                              94.15,                             135.00,                             363.15,                               0.00,                             135.00,                               2.69,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0407,VIBRADOR RABBIT SUPER MUTE 10 VELOCIDADES FUCSIA YCYY001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             169.00,                             454.61,                               0.00,                               0.00,                              32.00,                              86.08,                             137.00,                             368.53,                               0.00,                             137.00,                               2.69,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0409,RADIOS BAOFENG X2,U001,Ubicación Principal,PRO-21,ELECTRONICA,Unid,                               3.00,                              38.84,                               2.00,                              33.38,                               1.00,                              14.44,                               4.00,                              57.78,                               0.00,                               4.00,                              14.44,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0423,RELOJ INTELIGENTE D20S ROSADO,U001,Ubicación Principal,PRO-07,RELOJES INTELIGENTES,Unid,                               2.00,                               3.66,                               0.00,                               0.00,                               0.00,                               0.00,                               2.00,                               3.66,                               0.00,                               2.00,                               1.83,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0425,RELOJ INTELIGENTE D20S VERDE,U001,Ubicación Principal,PRO-07,RELOJES INTELIGENTES,Unid,                               1.00,                               2.09,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               2.09,                               0.00,                               1.00,                               2.09,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0427,RELOJ INTELIGENTE D20S BLANCO,U001,Ubicación Principal,PRO-07,RELOJES INTELIGENTES,Unid,                               6.00,                              13.61,                               0.00,                               0.00,                               0.00,                               0.00,                               6.00,                              13.61,                               0.00,                               6.00,                               2.27,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0461,REMOVEDOR ELECTRICO DE PUNTOS NEGROS XN-8030,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                               0.00,                               0.00,                               1.00,                               3.75,                               0.00,                               0.00,                               1.00,                               3.75,                               0.00,                               1.00,                               3.75,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0497,"SET ADULTO JUEGO SEXUAL BONDAGE LATIGO, MORDAZA, ESPOSA, MASCARA -SM10S01 NEGRO",U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             258.00,"                           1,029.05",                               1.00,                               3.99,                              44.00,                             175.56,                             215.00,                             857.48,                               0.00,                             215.00,                               3.99,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0498,"SET ADULTO JUEGO SEXUAL BONDAGE LATIGO, MORDAZA, ESPOSA, MASCARA -SM10S01 ROJO",U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              68.00,                             273.98,                               1.00,                               4.03,                               8.00,                              32.24,                              61.00,                             245.77,                               0.00,                              61.00,                               4.03,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0506,SET DE OLLAS TRAMONTINA 9 PCS GRIS,U001,Ubicación Principal,PRO-25,COCINA,Unid,                               4.00,                             248.93,                               2.00,                             124.48,                               5.00,                             311.16,                               1.00,                              62.25,                               0.00,                               1.00,                              62.23,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0507,SET DE OLLAS TRAMONTINA 9 PCS AZUL,U001,Ubicación Principal,PRO-25,COCINA,Unid,                              20.00,"                           1,282.00",                               2.00,                             128.20,                               5.00,                             320.50,                              17.00,"                           1,089.70",                               0.00,                              17.00,                              64.10,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0517,SOPORTE GAMEPAD FOR PS4,U001,Ubicación Principal,PRO-03,CONSOLAS Y VIDEOJUEGOS,Unid,                               2.00,                               5.66,                               0.00,                               0.00,                               0.00,                               0.00,                               2.00,                               5.66,                               0.00,                               2.00,                               2.83,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0518,SPRAY RETARDANTE STUD 100 MASCULINO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             674.00,                             606.60,                              28.00,                              25.20,                             701.00,                             630.90,                               1.00,                               0.90,                               0.00,                               1.00,                               0.90,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0533,TALADRO INALAMBRICO 3/8 RECARGABLE HYPER TOUGH 50 PCS,U001,Ubicación Principal,PRO-16,FERRETERIA,Unid,                               4.00,                             232.48,                               4.00,                             232.48,                               5.00,                             290.60,                               3.00,                             174.36,                               0.00,                               3.00,                              58.12,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0548,TEMPORIZADOR DIGITAL PROGRAMABLE,U001,Ubicación Principal,PRO-25,COCINA,Unid,                               1.00,                              10.52,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                              10.52,                               0.00,                               1.00,                              10.52,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0558,TESTER DIGITAL DT9205A,U001,Ubicación Principal,PRO-16,FERRETERIA,Unid,                               1.00,                               4.35,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               4.35,                               0.00,                               1.00,                               4.35,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0560,TESTER DT9205B,U001,Ubicación Principal,PRO-16,FERRETERIA,Unid,                               2.00,                               9.34,                               0.00,                               0.00,                               0.00,                               0.00,                               2.00,                               9.34,                               0.00,                               2.00,                               4.67,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0584,VAGINA VIBRADORA PUSSY DLS001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              76.00,                             172.54,                               2.00,                               4.54,                              39.00,                              88.53,                              39.00,                              88.55,                               0.00,                              39.00,                               2.27,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0589,VARITA MAGICA JOYPARK 20 VELOCIDADES 8 MODOS MORADO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                               1.00,                               3.42,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               3.42,                               0.00,                               1.00,                               3.42,ACTIVO
